"","sensor","acquisitionDate","path","row","sceneCenterLatitude","sceneCenterLongitude","cloudCover","cloudCoverFull","year","doy","browseURL"
"72","TM",1987-10-31 07:50:09,176,36,"34.610924 33.129997","34.610924 33.129997",5,57,"1987",304,"http://landsat-ds.eo.esa.int/products/LANDSAT/1987/10/31/LS05_RFUI_TM__GEO_1P_19871031T075009_19871031T075037_019497_0176_0036_89B7.ZIP"
"73","TM",1987-11-16 07:50:31,176,36,"34.613346 33.157505","34.613346 33.157505",0,5,"1987",320,"http://landsat-ds.eo.esa.int/products/LANDSAT/1987/11/16/LS05_RFUI_TM__GTC_1P_19871116T075031_19871116T075059_019730_0176_0036_D889.ZIP"
"74","TM",1987-12-02 07:50:47,176,36,"34.610847 33.15747","34.610847 33.15747",2,24,"1987",336,"http://landsat-ds.eo.esa.int/products/LANDSAT/1987/12/02/LS05_RFUI_TM__GTC_1P_19871202T075047_19871202T075115_019963_0176_0036_0D18.ZIP"
"75","TM",1987-12-18 07:51:00,176,36,"34.613346 33.167507","34.613346 33.167507",7,78,"1987",352,"http://landsat-ds.eo.esa.int/products/LANDSAT/1987/12/18/LS05_RFUI_TM__GEO_1P_19871218T075100_19871218T075129_020196_0176_0036_CE11.ZIP"
"76","TM",1988-01-03 07:51:16,176,36,"34.61087 33.164997","34.61087 33.164997",2,21,"1988",3,"http://landsat-ds.eo.esa.int/products/LANDSAT/1988/01/03/LS05_RFUI_TM__GTC_1P_19880103T075116_19880103T075144_020429_0176_0036_015B.ZIP"
"77","TM",1988-01-19 07:51:33,176,36,"34.61087 33.149944","34.61087 33.149944",1,17,"1988",19,"http://landsat-ds.eo.esa.int/products/LANDSAT/1988/01/19/LS05_RFUI_TM__GTC_1P_19880119T075133_19880119T075201_020662_0176_0036_0E2D.ZIP"
"78","TM",1988-02-04 07:51:51,176,36,"34.610897 33.12247","34.610897 33.12247",0,3,"1988",35,"http://landsat-ds.eo.esa.int/products/LANDSAT/1988/02/04/LS05_RFUI_TM__GTC_1P_19880204T075151_19880204T075220_020895_0176_0036_7B1B.ZIP"
"79","TM",1988-02-20 07:52:06,176,36,"34.610924 33.11","34.610924 33.11",5,59,"1988",51,"http://landsat-ds.eo.esa.int/products/LANDSAT/1988/02/20/LS05_RFUI_TM__GTC_1P_19880220T075206_19880220T075234_021128_0176_0036_AA44.ZIP"
"80","TM",1988-03-07 07:52:16,176,36,"34.61087 33.105003","34.61087 33.105003",6,68,"1988",67,"http://landsat-ds.eo.esa.int/products/LANDSAT/1988/03/07/LS05_RFUI_TM__GTC_1P_19880307T075216_19880307T075244_021361_0176_0036_BA87.ZIP"
"81","TM",1988-04-24 07:52:35,176,36,"34.61085 33.11747","34.61085 33.11747",0,1,"1988",115,"http://landsat-ds.eo.esa.int/products/LANDSAT/1988/04/24/LS05_RFUI_TM__GTC_1P_19880424T075235_19880424T075304_022060_0176_0036_8004.ZIP"
"82","TM",1988-05-10 07:52:45,176,36,"34.61087 33.095","34.61087 33.095",0,1,"1988",131,"http://landsat-ds.eo.esa.int/products/LANDSAT/1988/05/10/LS05_RFUI_TM__GTC_1P_19880510T075245_19880510T075314_022293_0176_0036_E2C2.ZIP"
"83","TM",1988-05-26 07:52:52,176,36,"34.610874 33.085","34.610874 33.085",0,7,"1988",147,"http://landsat-ds.eo.esa.int/products/LANDSAT/1988/05/26/LS05_RFUI_TM__GTC_1P_19880526T075252_19880526T075320_022526_0176_0036_B045.ZIP"
"84","TM",1988-06-11 07:52:58,176,36,"34.610897 33.08247","34.610897 33.08247",0,3,"1988",163,"http://landsat-ds.eo.esa.int/products/LANDSAT/1988/06/11/LS05_RFUI_TM__GTC_1P_19880611T075258_19880611T075326_022759_0176_0036_4ED0.ZIP"
"85","TM",1988-06-27 07:53:03,176,36,"34.61087 33.075","34.61087 33.075",0,0,"1988",179,"http://landsat-ds.eo.esa.int/products/LANDSAT/1988/06/27/LS05_RFUI_TM__GTC_1P_19880627T075303_19880627T075332_022992_0176_0036_8F00.ZIP"
"86","TM",1988-07-13 07:53:07,176,36,"34.61087 33.075","34.61087 33.075",0,1,"1988",195,"http://landsat-ds.eo.esa.int/products/LANDSAT/1988/07/13/LS05_RFUI_TM__GTC_1P_19880713T075307_19880713T075335_023225_0176_0036_F893.ZIP"
"87","TM",1988-07-29 07:53:09,176,36,"34.61085 33.07747","34.61085 33.07747",0,5,"1988",211,"http://landsat-ds.eo.esa.int/products/LANDSAT/1988/07/29/LS05_RFUI_TM__GTC_1P_19880729T075309_19880729T075338_023458_0176_0036_7096.ZIP"
"88","TM",1988-08-14 07:53:08,176,36,"34.61087 33.089996","34.61087 33.089996",0,0,"1988",227,"http://landsat-ds.eo.esa.int/products/LANDSAT/1988/08/14/LS05_RFUI_TM__GTC_1P_19880814T075308_19880814T075337_023691_0176_0036_BD73.ZIP"
"89","TM",1988-08-30 07:53:12,176,36,"34.61087 33.075","34.61087 33.075",0,0,"1988",243,"http://landsat-ds.eo.esa.int/products/LANDSAT/1988/08/30/LS05_RFUI_TM__GTC_1P_19880830T075312_19880830T075341_023924_0176_0036_C981.ZIP"
"90","TM",1988-09-15 07:53:09,176,36,"34.610924 33.09","34.610924 33.09",0,0,"1988",259,"http://landsat-ds.eo.esa.int/products/LANDSAT/1988/09/15/LS05_RFUI_TM__GTC_1P_19880915T075309_19880915T075338_024157_0176_0036_4886.ZIP"
"91","TM",1988-10-01 07:53:03,176,36,"34.610924 33.11","34.610924 33.11",0,5,"1988",275,"http://landsat-ds.eo.esa.int/products/LANDSAT/1988/10/01/LS05_RFUI_TM__GTC_1P_19881001T075303_19881001T075331_024390_0176_0036_9E60.ZIP"
"92","TM",1988-11-18 07:53:00,176,36,"34.61085 33.06747","34.61085 33.06747",7,79,"1988",323,"http://landsat-ds.eo.esa.int/products/LANDSAT/1988/11/18/LS05_RFUI_TM__GTC_1P_19881118T075300_19881118T075329_025089_0176_0036_806D.ZIP"
"93","TM",1988-12-04 07:52:57,176,36,"34.61085 33.057472","34.61085 33.057472",0,1,"1988",339,"http://landsat-ds.eo.esa.int/products/LANDSAT/1988/12/04/LS05_RFUI_TM__GTC_1P_19881204T075257_19881204T075325_025322_0176_0036_7DCC.ZIP"
"94","TM",1988-12-20 07:52:44,176,36,"34.61085 33.07747","34.61085 33.07747",3,32,"1988",355,"http://landsat-ds.eo.esa.int/products/LANDSAT/1988/12/20/LS05_RFUI_TM__GTC_1P_19881220T075244_19881220T075313_025555_0176_0036_200B.ZIP"
"95","TM",1989-01-05 07:52:43,176,36,"34.610897 33.05247","34.610897 33.05247",1,10,"1989",5,"http://landsat-ds.eo.esa.int/products/LANDSAT/1989/01/05/LS05_RFUI_TM__GTC_1P_19890105T075243_19890105T075312_025788_0176_0036_4F69.ZIP"
"96","TM",1989-01-21 07:52:24,176,36,"34.61087 33.095","34.61087 33.095",1,11,"1989",21,"http://landsat-ds.eo.esa.int/products/LANDSAT/1989/01/21/LS05_RFUI_TM__GTC_1P_19890121T075224_19890121T075252_026021_0176_0036_E47C.ZIP"
"97","TM",1989-02-06 07:52:27,176,36,"34.610897 33.04247","34.610897 33.04247",0,4,"1989",37,"http://landsat-ds.eo.esa.int/products/LANDSAT/1989/02/06/LS05_RFUI_TM__GTC_1P_19890206T075227_19890206T075255_026254_0176_0036_295C.ZIP"
"98","TM",1989-03-10 07:51:55,176,36,"34.610825 33.070004","34.610825 33.070004",0,2,"1989",69,"http://landsat-ds.eo.esa.int/products/LANDSAT/1989/03/10/LS05_RFUI_TM__GTC_1P_19890310T075155_19890310T075223_026720_0176_0036_CB16.ZIP"
