Granule UR,Producer Granule ID,Start Time,End Time,Online Access URLs,Browse URLs,Cloud Cover,Day/Night,Size
LM21880371975181GDS07,,1975-06-30T07:36:17Z,1975-06-30T07:36:45Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM21880371975181GDS07,http://earthexplorer.usgs.gov/browse/mss/188/37/1975/218803700751819007.jpg,,DAY,
LM21900351975255AAA02,,1975-09-12T07:45:41Z,1975-09-12T07:46:10Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM21900351975255AAA02,http://earthexplorer.usgs.gov/browse/mss/190/35/1975/219003500752559002.jpg,,DAY,
LM21910351975256FAK07,,1975-09-13T07:51:25Z,1975-09-13T07:51:53Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM21910351975256FAK07,http://earthexplorer.usgs.gov/browse/mss/191/35/1975/219103500752569007.jpg,,DAY,
LM21880351977206AAA03,,1977-07-25T07:12:40Z,1977-07-25T07:13:08Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM21880351977206AAA03,http://earthexplorer.usgs.gov/browse/mss/188/35/1977/218803500772069003.jpg,,DAY,
LM21880361977206AAA03,,1977-07-25T07:13:05Z,1977-07-25T07:13:33Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM21880361977206AAA03,http://earthexplorer.usgs.gov/browse/mss/188/36/1977/218803600772069003.jpg,,DAY,
LM21880371977206AAA03,,1977-07-25T07:13:30Z,1977-07-25T07:13:58Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM21880371977206AAA03,http://earthexplorer.usgs.gov/browse/mss/188/37/1977/218803700772069003.jpg,,DAY,
LM21880351977224AAA03,,1977-08-12T07:11:42Z,1977-08-12T07:12:10Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM21880351977224AAA03,http://earthexplorer.usgs.gov/browse/mss/188/35/1977/218803500772249003.jpg,,DAY,
LM21890351977224TGS02,,1977-08-12T07:11:46Z,1977-08-12T07:12:15Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM21890351977224TGS02,http://earthexplorer.usgs.gov/browse/mss/189/35/1977/218903500772249002.jpg,,DAY,
LM21880361977224AAA03,,1977-08-12T07:12:07Z,1977-08-12T07:12:35Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM21880361977224AAA03,http://earthexplorer.usgs.gov/browse/mss/188/36/1977/218803600772249003.jpg,,DAY,
LM21890361977224TGS02,,1977-08-12T07:12:11Z,1977-08-12T07:12:40Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM21890361977224TGS02,http://earthexplorer.usgs.gov/browse/mss/189/36/1977/218903600772249002.jpg,,DAY,
LM21880371977224AAA03,,1977-08-12T07:12:32Z,1977-08-12T07:13:00Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM21880371977224AAA03,http://earthexplorer.usgs.gov/browse/mss/188/37/1977/218803700772249003.jpg,,DAY,
LM21890371977224TGS02,,1977-08-12T07:12:36Z,1977-08-12T07:13:05Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM21890371977224TGS02,http://earthexplorer.usgs.gov/browse/mss/189/37/1977/218903700772249002.jpg,,DAY,
LM31890361978103GDS02,,1978-04-13T07:33:13Z,1978-04-13T07:33:42Z,,http://earthexplorer.usgs.gov/browse/mss/189/36/1978/318903600781039002.jpg,,DAY,
LM31890371978103GDS02,,1978-04-13T07:33:38Z,1978-04-13T07:34:07Z,,http://earthexplorer.usgs.gov/browse/mss/189/37/1978/318903700781039002.jpg,,DAY,
LM31880371978354AAA02,,1978-12-20T07:37:01Z,1978-12-20T07:37:30Z,,http://earthexplorer.usgs.gov/browse/mss/188/37/1978/318803700783549002.jpg,,DAY,
LM31880371979007AAA12,,1979-01-07T07:37:06Z,1979-01-07T07:37:35Z,,http://earthexplorer.usgs.gov/browse/mss/188/37/1979/318803700790079012.jpg,,DAY,
LM51780351984118AAA01,,1984-04-27T08:01:03Z,1984-04-27T23:59:59Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM51780351984118AAA01,http://earthexplorer.usgs.gov/browse/mss/178/35/1984/LM51780351984118AAA01.jpg,,DAY,
LM51780361984118AAA03,,1984-04-27T08:01:05Z,1984-04-27T23:59:59Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM51780361984118AAA03,http://earthexplorer.usgs.gov/browse/mss/178/36/1984/LM51780361984118AAA03.jpg,,DAY,
LM51750351984129AAA03,,1984-05-08T07:43:01Z,1984-05-08T23:59:59Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM51750351984129AAA03,http://earthexplorer.usgs.gov/browse/mss/175/35/1984/LM51750351984129AAA03.jpg,,DAY,
LM51750361984129AAA03,,1984-05-08T07:43:03Z,1984-05-08T23:59:59Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM51750361984129AAA03,http://earthexplorer.usgs.gov/browse/mss/175/36/1984/LM51750361984129AAA03.jpg,,DAY,
LM51750371984129AAA03,,1984-05-08T07:44:00Z,1984-05-08T23:59:59Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM51750371984129AAA03,http://earthexplorer.usgs.gov/browse/mss/175/37/1984/LM51750371984129AAA03.jpg,,DAY,
LM51750351984145AAA03,,1984-05-24T07:43:04Z,1984-05-24T23:59:59Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM51750351984145AAA03,http://earthexplorer.usgs.gov/browse/mss/175/35/1984/LM51750351984145AAA03.jpg,,DAY,
LM51750361984145AAA03,,1984-05-24T07:44:00Z,1984-05-24T23:59:59Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM51750361984145AAA03,http://earthexplorer.usgs.gov/browse/mss/175/36/1984/LM51750361984145AAA03.jpg,,DAY,
LM51750371984145AAA03,,1984-05-24T07:44:02Z,1984-05-24T23:59:59Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM51750371984145AAA03,http://earthexplorer.usgs.gov/browse/mss/175/37/1984/LM51750371984145AAA03.jpg,,DAY,
LM51780351984150AAA03,,1984-05-29T08:02:02Z,1984-05-29T23:59:59Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM51780351984150AAA03,http://earthexplorer.usgs.gov/browse/mss/178/35/1984/LM51780351984150AAA03.jpg,,DAY,
LM51780361984150AAA03,,1984-05-29T08:02:04Z,1984-05-29T23:59:59Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM51780361984150AAA03,http://earthexplorer.usgs.gov/browse/mss/178/36/1984/LM51780361984150AAA03.jpg,,DAY,
LM51760351984152AAA03,,1984-05-31T07:50:00Z,1984-05-31T23:59:59Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM51760351984152AAA03,http://earthexplorer.usgs.gov/browse/mss/176/35/1984/LM51760351984152AAA03.jpg,,DAY,
LM51760361984152AAA03,,1984-05-31T07:50:02Z,1984-05-31T23:59:59Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM51760361984152AAA03,http://earthexplorer.usgs.gov/browse/mss/176/36/1984/LM51760361984152AAA03.jpg,,DAY,
